epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.101,0.49294,2.67679,1.06985,0.49062,0.34944,0.40601,0.35738,0.39384,2.93502,0.68718,0.000363475,0.000363475,0.000363475
2,319.61,0.43701,1.70598,1.00175,0.47603,0.33759,0.34621,0.27999,0.48799,3.26799,0.80955,0.000697485,0.000697485,0.000697485
3,456.967,0.44789,1.53392,0.9983,0.77651,0.43094,0.68248,0.58862,0.43866,2.51068,0.70879,0.000994832,0.000994832,0.000994832
4,598.878,0.42668,1.42822,0.97573,0.6233,0.7011,0.72943,0.6216,0.4851,2.61067,0.82867,0.000946016,0.000946016,0.000946016
5,733.707,0.43099,1.32501,0.97286,0.78936,0.7314,0.83036,0.74783,0.36728,1.57168,0.69048,0.000891022,0.000891022,0.000891022
6,879.539,0.40217,1.19796,0.97036,0.65131,0.71641,0.76971,0.71099,0.36644,1.96977,0.67733,0.000836027,0.000836027,0.000836027
7,1027.25,0.38487,1.12121,0.94981,0.86377,0.70656,0.85019,0.78258,0.39565,1.45928,0.76596,0.000781033,0.000781033,0.000781033
8,1167.77,0.33646,1.0209,0.93533,0.8232,0.89746,0.88169,0.8266,0.34983,1.15673,0.71676,0.000726038,0.000726038,0.000726038
9,1323.24,0.34414,0.96804,0.93182,0.93491,0.79015,0.94026,0.89959,0.3056,1.06793,0.65222,0.000671044,0.000671044,0.000671044
10,1487.01,0.33252,0.90045,0.95029,0.81469,0.8745,0.92219,0.86957,0.32473,0.89322,0.70871,0.000616049,0.000616049,0.000616049
11,1632.03,0.28914,0.91675,0.87807,0.92233,0.91236,0.96365,0.93987,0.265,0.78339,0.62161,0.000561055,0.000561055,0.000561055
12,1774.98,0.25674,0.80264,0.86231,0.93172,0.89227,0.932,0.90268,0.30712,0.7847,0.68252,0.00050606,0.00050606,0.00050606
13,1906.24,0.23754,0.68544,0.85845,0.84856,0.94903,0.9714,0.9558,0.22978,0.71906,0.61206,0.000451066,0.000451066,0.000451066
14,2044.74,0.21612,0.58368,0.84238,0.94195,0.93891,0.97592,0.9578,0.2351,0.58687,0.61118,0.000396071,0.000396071,0.000396071
15,2186.43,0.20776,0.58058,0.84212,0.95471,0.975,0.9857,0.97867,0.22056,0.5276,0.60941,0.000341077,0.000341077,0.000341077
16,2341.23,0.19463,0.5042,0.8414,0.93917,0.98677,0.98909,0.97356,0.21648,0.48505,0.61059,0.000286083,0.000286083,0.000286083
17,2508.89,0.18303,0.45089,0.83887,0.98123,0.97525,0.98558,0.97034,0.22319,0.46249,0.62061,0.000231088,0.000231088,0.000231088
18,2676.39,0.17231,0.41708,0.83511,0.96741,0.98479,0.98699,0.9811,0.21232,0.45156,0.60884,0.000176094,0.000176094,0.000176094
19,2832.14,0.16129,0.38756,0.8359,0.98174,0.95982,0.99367,0.99112,0.18142,0.39586,0.59214,0.000121099,0.000121099,0.000121099
20,2968.24,0.15066,0.36919,0.83062,0.98074,0.9671,0.995,0.99286,0.16945,0.38802,0.58536,6.61045e-05,6.61045e-05,6.61045e-05
