epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.3844,0.66991,3.08607,0.95519,0.00727,1,0.28472,0.25658,0.4202,3.51835,0.80151,0.00031108,0.00031108,0.00031108
2,128.344,0.68024,2.31525,0.96084,0.91684,0.13747,0.50426,0.45089,0.49802,3.07177,0.83443,0.000601923,0.000601923,0.000601923
3,195.755,0.7015,2.09738,0.99386,0.63769,0.43425,0.63632,0.54558,0.50599,2.71677,0.85321,0.000860869,0.000860869,0.000860869
4,265.748,0.74552,1.92483,1.01852,0.4849,0.66184,0.64221,0.54379,0.5602,2.36614,0.85577,0.000946016,0.000946016,0.000946016
5,333.26,0.73823,1.75146,0.97716,0.68378,0.62209,0.80676,0.72165,0.48991,1.8094,0.87202,0.000891022,0.000891022,0.000891022
6,401.481,0.70132,1.55722,0.96794,0.55811,0.80983,0.75675,0.67268,0.469,2.21609,0.85025,0.000836027,0.000836027,0.000836027
7,486.471,0.67807,1.51282,1.01754,0.75369,0.93551,0.92243,0.86628,0.39136,1.37091,0.83472,0.000781033,0.000781033,0.000781033
8,578.421,0.63418,1.39629,0.97677,0.73231,0.83677,0.87441,0.81954,0.39288,1.47153,0.83821,0.000726038,0.000726038,0.000726038
9,668.11,0.66221,1.32473,0.99798,0.85291,0.94111,0.95989,0.91449,0.36894,1.07887,0.83361,0.000671044,0.000671044,0.000671044
10,742.728,0.62626,1.2248,0.98017,0.85989,1,0.97063,0.91619,0.35721,1.02952,0.82847,0.000616049,0.000616049,0.000616049
11,810.834,0.4102,1.21042,0.82036,0.86849,0.95686,0.9675,0.91918,0.34849,1.02216,0.82165,0.000561055,0.000561055,0.000561055
12,877.207,0.38,1.01391,0.83079,0.92932,0.9047,0.98151,0.94291,0.3178,0.91539,0.83015,0.00050606,0.00050606,0.00050606
13,938.765,0.35357,0.96679,0.80217,0.88682,0.99335,0.98154,0.9475,0.28553,0.85904,0.80414,0.000451066,0.000451066,0.000451066
14,1000.66,0.36094,0.87366,0.8108,0.92807,0.94134,0.97923,0.94775,0.29123,0.87091,0.81204,0.000396071,0.000396071,0.000396071
15,1059.52,0.33111,0.85377,0.80461,0.96294,0.97288,0.99157,0.97296,0.26453,0.71007,0.80422,0.000341077,0.000341077,0.000341077
16,1123.68,0.30729,0.83124,0.81117,0.95998,0.99767,0.995,0.96927,0.25173,0.66692,0.80238,0.000286083,0.000286083,0.000286083
17,1190.3,0.2943,0.77361,0.80247,0.98331,0.9652,0.9928,0.97326,0.25553,0.67868,0.80704,0.000231088,0.000231088,0.000231088
18,1251.21,0.2838,0.73461,0.79937,0.96447,0.97778,0.9913,0.97463,0.2407,0.67561,0.80298,0.000176094,0.000176094,0.000176094
19,1313.58,0.26831,0.68608,0.78648,0.90372,0.98075,0.988,0.98005,0.2261,0.69639,0.80181,0.000121099,0.000121099,0.000121099
20,1378.38,0.24911,0.65187,0.78696,0.94242,0.9729,0.9895,0.9872,0.2094,0.64423,0.79968,6.61045e-05,6.61045e-05,6.61045e-05
